"id","mbar","swc"
"7-1AL",0,0.335893173798882
"7-1AL",33,0.27273234754733
"7-1AL",50,0.268150676522008
"7-1AL",100,0.261163342057308
"7-1AL",200,0.2538503714956
"7-1AL",500,0.243311173354922
"7-1AL",1000,0.232541102978203
"7-1AL",2000,0.222766882166029
"7-1AL",5000,0.214072924682868
"7-1AL",10000,0.204422117817715
"7-1AL",15000,0.197153543570968
"7-1AU",0,0.335039794830498
"7-1AU",33,0.263766088732477
"7-1AU",50,0.259889520966431
"7-1AU",100,0.252490557392548
"7-1AU",200,0.24460753750367
"7-1AU",500,0.23258635780734
"7-1AU",1000,0.220566973652326
"7-1AU",2000,0.211895015829342
"7-1AU",5000,0.203131689587164
"7-1AU",10000,0.194103948914648
"7-1AU",15000,0.187057646544479
"7-1BL",0,0.325672031934857
"7-1BL",33,0.273847896198245
"7-1BL",50,0.270879826164397
"7-1BL",100,0.263763266141609
"7-1BL",200,0.256884970022779
"7-1BL",500,0.245951236127069
"7-1BL",1000,0.236287480101839
"7-1BL",2000,0.227752607510229
"7-1BL",5000,0.217620768578152
"7-1BL",10000,0.207671283998077
"7-1BL",15000,0.200503488613712
"7-1BU",0,0.336770359528116
"7-1BU",33,0.273519698757347
"7-1BU",50,0.269459230904454
"7-1BU",100,0.261465847705456
"7-1BU",200,0.25194699476794
"7-1BU",500,0.238230197762163
"7-1BU",1000,0.224876596609173
"7-1BU",2000,0.216123519075971
"7-1BU",5000,0.207326778177381
"7-1BU",10000,0.1975906743322
"7-1BU",15000,0.190671502803971
"7-1CL",0,0.348939438694301
"7-1CL",33,0.305820296972088
"7-1CL",50,0.302397075764705
"7-1CL",100,0.296221373640772
"7-1CL",200,0.288397538808198
"7-1CL",500,0.279014515759387
"7-1CL",1000,0.263034924024912
"7-1CL",2000,0.254131990226521
"7-1CL",5000,0.244899868115481
"7-1CL",10000,0.235468969368075
"7-1CL",15000,0.227886717747175
"7-1CU",0,0.332288690735262
"7-1CU",33,0.276434092704609
"7-1CU",50,0.272328626345792
"7-1CU",100,0.266443160165591
"7-1CU",200,0.258169265099937
"7-1CU",500,0.246821653466806
"7-1CU",1000,0.234203019901624
"7-1CU",2000,0.225331909478941
"7-1CU",5000,0.217484644911029
"7-1CU",10000,0.208924452004964
"7-1CU",15000,0.201708430267338
"7-2AL",0,0.356304333831571
"7-2AL",33,0.28471241040504
"7-2AL",50,0.278340063531003
"7-2AL",100,0.271261347933876
"7-2AL",200,0.261677207496545
"7-2AL",500,0.25036005690729
"7-2AL",1000,0.236619424956518
"7-2AL",2000,0.225902629940971
"7-2AL",5000,0.216917977423794
"7-2AL",10000,0.207699764933606
"7-2AL",15000,0.200443800115196
"7-2AU",0,0.359072401477169
"7-2AU",33,0.286219301848453
"7-2AU",50,0.279339752697125
"7-2AU",100,0.271248034430693
"7-2AU",200,0.260640353626808
"7-2AU",500,0.247472131913726
"7-2AU",1000,0.232190683091993
"7-2AU",2000,0.221942883157977
"7-2AU",5000,0.212728322960442
"7-2AU",10000,0.202438830614476
"7-2AU",15000,0.193810250578695
"7-2BL",0,0.338428866651166
"7-2BL",33,0.281916375765019
"7-2BL",50,0.276227887084387
"7-2BL",100,0.268754677204129
"7-2BL",200,0.259582921085177
"7-2BL",500,0.248327989859414
"7-2BL",1000,0.235934436960852
"7-2BL",2000,0.226989350458724
"7-2BL",5000,0.217950902389009
"7-2BL",10000,0.208299566971973
"7-2BL",15000,0.20115761984182
"7-2BU",0,0.362916054258727
"7-2BU",33,0.278940322024072
"7-2BU",50,0.271812636460405
"7-2BU",100,0.262911591707356
"7-2BU",200,0.252333426192083
"7-2BU",500,0.240707650035312
"7-2BU",1000,0.227090170599545
"7-2BU",2000,0.218918249965056
"7-2BU",5000,0.210065737673337
"7-2BU",10000,0.201256040058983
"7-2BU",15000,0.193311258808738
"7-2CL",0,0.334033075481604
"7-2CL",33,0.273534540948142
"7-2CL",50,0.267214208924174
